thread_id,subject,New Code,LLSum,AutoCat
11861,New identity Needed,Anonymity – Other,,
46898,Vendor using just tails?,Anonymity – Other,,
17342,tails on public wifi - safe ?,Anonymity – Other,,
15944,â â â BYE BYE BIG BROTHER BBBB - 500 usd value  â â â,Anonymity – Other,,
32012,"Tails, Good enough to Buy?",Anonymity – Other,,
3397,On average how well to vip72 socks work on hacked paypal accounts?,Anonymity – Proxies,,
17605,Using Socks through TOR on MAC?,Anonymity – Proxies,,
47713,Socks dont work :( :( :(,Anonymity – Proxies,,
44985,Sock5,Anonymity – Proxies,,
49589,How to setup Proxifier w/ WINE and VIP72,Anonymity – Proxies,,
3658,Proxifier is driving me insance [HELP],Anonymity – Proxies,,
2016,How do you use vip72 with proxychains?,Anonymity – Proxies,,
4440,Specific SOCKS5 locations...,Anonymity – Proxies,,
12645,IP/Socks provider for iPad,Anonymity – Proxies,,
54394,can i card socks,Anonymity – Proxies,,
44779,best VPN/SOCKS provider?,Anonymity – Proxies,,
14795,What goes on TOR stays on TOR,Anonymity – Tor,,
7052,"The term ""TOR stand alone""",Anonymity – Tor,,
54451,How to configure Pidgin to use TOR ?,Anonymity – Tor,,
51287,how LE tries to de-anonymize TOR users,Anonymity – Tor,,
16682,PureVPN or BolehVPN?,Anonymity – VPN,,
2041,Recommened VPN'S?,Anonymity – VPN,,
54559,VPN -> TAILS in VM -> VPN -> RDP?,Anonymity – VPN,,
6958,Best Android VPN,Anonymity – VPN,,
15496,To vpn or not to vpn,Anonymity – VPN,,
4584,connect home router thru VPN aswell ?,Anonymity – VPN,,
42745,VIP72 + vpn,Anonymity – VPN,,
16017,VPS and VPN,Anonymity – VPN,,
3781,which VPN service do you recommend?,Anonymity – VPN,,
4700,Have you been infected by Vip72?,Anonymity – VPN,,
3004,Free VPNs for Mac and Windows,Anonymity – VPN,,
47903,Carding Setup Advice (confirmation ) !!,Carding,,
38633,Carding Starter Kit,Carding,,
46349,Am I Good to Start Carding ?,Carding,,
21198,(VOUCHED!)STRIPE CASHOUT GUIDE //////// Priced reduced back to $80,Carding,,
12467,*VERSION 4* Carding Gude by Infamous Bank ATOer Alpha02 Now Available!,Carding,,
26590,"CARDING METHODS FOR FREE (buy Rolex's, Tranfer Â£1500, Buy Iphones etc.",Carding,,
4868,New Vendor - The Ultimate Guide to Everything Amazon/eBay/Carding/More,Carding,,
13308,$$ [VOUCHED] Credit Card to Bitcoin-2 methods. Only $7 $$,Carding,,
7036,FOR ALL CARDERs!!!!!!!!!,Carding,,
17994,How to use Stripe EU guide (how carding the easy way),Carding,,
27586,Open a UK Issued Card with HUGE limits and FULL Features,Carding,,
18054,Guide Carding funds Visa Debitcard 3Vcard Version 1.0,Carding,,
8049,search engine get credit card details for you,Carding,,
4159,Burner laptop for carding,Carding,,
4501,Best UK Carder specific guide out.. BUY NOW!!,Carding,,
9510,How to collect Fullz off your cc's,Carding,,
6774,"[ULTIMATE Megapack] [Carding, Fraud, Hacking, Be safe] MUST HAVE!",Carding,,
23805,Where can I find a good and working CC>Anon CC or BTC guide?,Carding,,
43582,NEW virwox Carding/paypal guide for bitcoins Fresh method!,Carding,,
11515,"GUIDE On HOW TO HACK CREDIT CARDS, BANK LOGINS",Carding,,
3759,help i  carded with no security set up,Carding,,
13209,ULTIMATE Carding Website - Guide,Carding,,
12701,Turn your cvv into fullz[$15][VOUCHED],Carding,,
27588,CARD Rolex Watches UK special... most wanted and requested guide!,Carding,,
12447,Credit Card to Bitcoins [25$],Cashing Out,,
27605,"UK MONEY Obtain REAL high street BANK accounts, Credit card, Loan",Cashing Out,,
2050,Direct CCV > BTC ( Almost ) Copies left (2) Out of (5),Cashing Out,,
3673,The ScoobyJew Cashout [SOLD OUT],Cashing Out,,
47478,Bitcoin fog problem!!!,Cashing Out,,
10151,BEST cashout methods available on Evo- 1-5K a week$open4business$,Cashing Out,,
8325,(VOUCHED) cashout method to make you 4-5k a week(stillgoing),Cashing Out,,
