thread_id,subject,New Code,LLSum,AutoCat
14601,[VOUCHED]How to get Amazon refunds/Double Dips! Only $15!,Fraud,,
52431,TAILS 1.3 is out and has electrum,Anonymity – Other,,
49718,How fucked am I?! Need advice...,Other,,
25049,Homemade gun guide step by step guide to building your own BSP 9mm,Weaponry & Explosives,,
47510,Formatting or DBAN'ing HDD?,,,
6529,[NOW Â£1.00!] Producing your own Steroids - HUGE PROFIT (VOUCHED),Drugs – Production,,
45108,[Cyberghost 5 vs. Hidemyass.com],Anonymity – Proxies,,
4425,"DELETE: chaining TOR, VPN, socks",Anonymity – VPN,,
39046,[Holiday Sale][Reviewed] Vobinator's Guide Pack.,Other,,
3257,SKIMMING GUIDE - Easily,Carding,,
50109,Is there any mobile messaging service LE cant read?,Anonymity – Other,,
42127,null,Other,,
3635,Bestbuy carding guide 5$,Carding,,
48742,Drop adresses,Transportation/Stealth,,
8519,[VOUCHED] The 1 dollar BTC Exploit Guide!,Cryptocurrency – General,,
15605,Android Text and Voice Security apps,,,
16612,Spotify Premium Account [LIFETIME+FREEBIES] Seller: DrawkwarD (Review),Hacking – Website,,
34669,[AUTOPILOT][EASY] Each 50$ Per Day! EVERYDAY! [15 MINUTES],,,
12590,[TOOL] For Buyers and Vendors: Auto Pilot Market Alert Tool [$5],,,
9688,DUMPS Carding Tutorial for Newbies!,Carding,,
6791,[GUIDE]Cleaning method for dirty or semi-cleaned funds (PP/PP),Cashing Out,,
29564,ââ â£â£ (Ultimate !Private Fraud! Guides Collection) For Begginers â£â£ ââ,Fraud,,
8578,new vcc with several new options for cashout,Cashing Out,,
44756,Don't believe everything you read on the forums...,Other,,
5629,The PayPal GoldMine,Cashing Out,,
3381,"UK MUST HAVE(escorts,credit,travel,cinema,food+more)All via cc!",,,
46221,Windows environment in TAILS,Anonymity – Other,,
4815,Chaining a VPN before Tor is not considered secure...,Anonymity – VPN,,
599,Shipping method requirement for carded items - suggestion.,Transportation/Stealth,,
45300,Change Email GPG4USB,PGP/GPG,,
1413,set up buyer account need strong IP,Anonymity – Other,,
19980,edit :,Other,,
2211,---------------,Other,,
54118,likelihood of further investigation after a seized package at customs,Transportation/Stealth,,
42541,A quick question about a noob's safety,Anonymity – VPN,,
44031,Anyone Using VIP72 VPN or There double VPN ?,Anonymity – VPN,,
3842,Paypal Transfer Methods,Cashing Out,,
3917,Vault Market Javascript,,,
10460,If you are a Newbie this is for you. 53 Guides,,,
9978,Credit CardCashout v1.0,Cashing Out,,
53174,package possibly seized UK?,Transportation/Stealth,,
2465,ICQ + OTR,,,
7330,Cracking a wifi password on kali on virtualbox,,,
10761,[#]*99$*[#]Easiest CVV to PayPal Guide[#]*99$*[#],,,
13596,[VOUCHED] How you can make $30 with each Torrent,,,
37871,Secure pc setup Tutorial for FREE.,,,
3395,MullVad And proxifier(vip72),,,
