freq,word
1, 'best'
1, 'big'
1, 'bonu'
1, 'clo'
1, 'cyb'
1, 'data'
1, 'electronic'
1, 'evidence'
1, 'fbi'
1, 'field'
1, 'free'
1, 'hack'
1, 'hackers'
1, 'hadoop'
1, 'implementing'
1, 'incident'
1, 'internet'
1, 'into'
1, 'investigati'
1, 'investigation'
1, 'investigations'
1, 'malware'
1, 'mastering'
1, 'mobile'
1, 'nsa'
1, 'open'
1, 'operating'
1, 'phone'
1, 'pick-10-book'
1, 'pick-5-book'
1, 'pick-a-book'
1, 'practic'
1, 'practitioner'
1, 'preserving'
1, 'procedures'
1, 'processing'
1, 'readiness'
1, 'registry'
1, 'response'
1, 'scriptin'
1, 'shell'
1, 'source'
1, 'threatscape'
1, 'through'
1, 'to'
1, 'tools'
1, 'tracking'
1, 'triage'
1, 'trial'
1, 'workbench'
1, 'x-ways'
2, 'analysis'
2, 'android'
2, 'edition'
2, 'hacking'
2, 'linux'
2, 'practical'
2, 'system'
2, 'with'
3, 'basics'
3, 'cookbook'
3, 'exploits'
3, 'infosec'
3, 'ios'
3, 'learning'
3, 'list'
3, 'network'
3, 'of'
3, 'primer'
3, 'pro'
3, 'python'
3, 'toolkit'
3, 'windows'
4, 'cia/nsa/fbi'
4, 'expert'
4, 'for'
4, 'forensic'
4, 'ief'
4, 'magnetic'
4, 'tool'
5, 'computer'
6, 'guide'
6, 'the'
8, 'and'
12, 'digital'
15, '...'
37, 'forensics'
