freq,word
0,'s
0,and
0,how
0,make
0,of
0,the
0,to
1,13
1,analysis
1,antivirus
1,beginner
1,bitcoin
1,black
1,book
1,botnets
1,by
1,bypass
1,clone
1,code
1,cyber
1,datamining
1,driven
1,dummies
1,embedded
1,essentials
1,exploits
1,for
1,fud
1,get
1,in
1,keylogger
1,keyloggers
1,little
1,lots
1,multi-staged
1,os
1,others
1,pdf
1,phildelphia
1,ransomware
1,rootkits
1,slaves
1,source
1,spyagent
1,spytech
1,spyware
1,stealing
1,targeted
1,top
1,virus
1,warning
2,attacks
2,backdoor
2,computer
2,create
2,guide
2,viruses
2,windows
4,malware
